participant_id,cohort,race_simplified,gender_simplified,accent_simplified,audit_eligible,strict_audit_eligible,prolific_recruitment_group,prolific_filter_matches_self_report,age_bin,income_bin,education,gender_self_report,race_self_report_raw,race_other_text,english_proficiency,english_accent_self_report,english_accent_other_text,primary_language,primary_language_other_text,languages_fluent,languages_fluent_other_text,residency_state,residency_other_text,country_childhood,country_childhood_other_text,state_childhood,recording_device,recording_device_other_text,device_brand_model_text,frequency_voice_assistant,frequency_text_assistant,ux_voice,voice_underperform_text,duration_s
P0337,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$150,000 or more",Bachelor's degree in college (4-year),Man,"Black or African American,White or European American",,I speak English fluently as a first language,"African American English,California accent,Standard American English",,English,,English,,California,,United States,,California,Smartphone,,iPhone 13,"At least once per week, but not every day",Daily or more,Very well,"Yes, sometimes they don’t understand where there should be a question mark vs. periods. ",1651
P0328,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,55-64,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,New England accent,,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with built-in microphone,,Dell Inspiron 16,Only a few times,Only a few times,Very well,Not really.,1943
P0333,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$10,000 to $19,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with built-in microphone,,MSI GF63 Thin,Only a few times,Daily or more,Moderately well,Sometimes it just doesn't understand my voice despite how clearly I speak,2321
P0329,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$20,000 to $29,999",Less than high school degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,New York,,United States,,New York,Laptop/Computer with external microphone,,motorola one 5G UW ace,Not at all,Daily or more,Moderately well,i have not used them just yet so i can not so for certain,3224
P0344,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$90,000 to $99,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,Mid Atlantic accent,,English,,Haitian Creole,,New Jersey,,United States,,New Jersey,Laptop/Computer with built-in microphone,,Lenovo Legion 5,Only a few times,"At least once per month, but not every week",Slightly well,Not that I can really describe here,3996
P0335,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$50,000 to $59,999",Associate degree in college (2-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Maryland,,United States,,Maryland,Tablet,,Lenovo TB,"At least once per month, but not every week","At least once per week, but not every day",Moderately well,Sometimes they mishear what I saw when making a request or respond before I finish what I'm saying.,1938
P0345,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$30,000 to $39,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Ohio,,United States,,Ohio,Smartphone,,Samsung galaxy S23 ultra,Daily or more,"At least once per week, but not every day",Moderately well,Needing to repeat myself ,1603
P0322,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"Less than $10,000",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Georgia,,United States,,Illinois,Laptop/Computer with external microphone,,legion tower ryzen 5,Only a few times,"At least once per month, but not every week",Not well at all,no,916
P0363,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$70,000 to $79,999",Bachelor's degree in college (4-year),Man,"Black or African American,Hispanic or Latino",,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Florida,,United States,,Florida,Smartphone,,Pixel 7,"At least once per week, but not every day","At least once per week, but not every day",Slightly well,It can sound choppy at times,3473
P0320,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$60,000 to $69,999",Master's degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Other",I worked in Africa for a brief period of time,English,,English,,California,,United States,,Maryland,Laptop/Computer with built-in microphone,,LAPTOP-E1585M9M,Only a few times,Daily or more,Slightly well,Sometimes they mix up my words,3152
P0353,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$90,000 to $99,999",High school graduate (high school diploma or equivalent including GED),Man,"Black or African American,Native American or Alaska Native",,I speak English fluently as a first language,"African American English,Midland or Northern Midwest accent,Standard American English",,English,,English,,Nebraska,,United States,,Nebraska,Smartphone,,iPhone 12 Pro Max,Only a few times,Daily or more,Moderately well,No there are not.,771
P0358,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,North Carolina,,United States,,Illinois,Laptop/Computer with built-in microphone,,HP Laptop 15-dy1xxx,"At least once per week, but not every day",Not at all,Moderately well,"Sometimes, Alexa does not provide recipes that I ask for. It gives me a list of recipes with no details or recommendations. It makes it difficult to choose. ",1570
P0372,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$100,000 to $149,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Florida,,United States,,Florida,Laptop/Computer with external microphone,,Logitech H390,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Just sometimes misunderstanding what I said.,1699
P0330,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$20,000 to $29,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Oklahoma,,United States,,Oklahoma,Smartphone,,Mot G 5g,Daily or more,Only a few times,Moderately well,No,2690
P0359,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,45-54,"$40,000 to $49,999",High school graduate (high school diploma or equivalent including GED),Man,"Black or African American,Native American or Alaska Native",,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,South Carolina,,United States,,District of Columbia,Smartphone,,Samsung Galaxy A14,"At least once per week, but not every day",Daily or more,Very well,No they have been performing quite well for me.,2471
P0365,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"$100,000 to $149,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,New England accent,,Portuguese,,"English,Portuguese",,Georgia,,United States,,"Georgia,New Jersey",Laptop/Computer with external microphone,,Razer blade 14,Daily or more,Daily or more,Very well,Siri is basically useless,3002
P0338,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,25-34,"Less than $10,000",Less than high school degree,Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Illinois,,United States,,Illinois,Smartphone,,Samsung Galaxy S21,"At least once per month, but not every week","At least once per month, but not every week",Very well,Sometimes have to repeat ,1460
P0348,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$20,000 to $29,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Louisiana,,United States,,Louisiana,Laptop/Computer with external microphone,,moto g 5G (XT2417D),"At least once per week, but not every day","At least once per week, but not every day",Very well,None that I can think of ,23470
P0356,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,65-74,"$50,000 to $59,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Michigan,,United States,,Michigan,Laptop/Computer with built-in microphone,,Asus 314 Chromebook,Daily or more,"At least once per week, but not every day",Moderately well,"Yes, Siri is very disappointing to use.  I often have to repeat my question several times before she gets it right. ",2787
P0373,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$50,000 to $59,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,North Carolina,,United States,,North Carolina,Laptop/Computer with external microphone,,MSI Trident 3,"At least once per week, but not every day","At least once per week, but not every day",Extremely well,Sometimes it detects the wrong word despite me speaking correctly,1604
P0374,reconsent,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$60,000 to $69,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,"African American English,Midland or Northern Midwest accent",,English,,English,,Ohio,,United States,,Ohio,Smartphone,,Moto g 2023,"At least once per month, but not every week","At least once per week, but not every day",Moderately well,Sometimes they take a while to recognize my speech when I am in a lot of traffic or have a lot of noise around me. Sometimes they don't recognize accents. ,1375
